Year,Year.1,Sales/Revenue,Sales Growth,Cost of Goods Sold (COGS) incl. D&A,COGS Growth,COGS excluding D&A,Depreciation & Amortization Expense,Depreciation,Amortization of Intangibles,Gross Income,Gross Income Growth,Gross Profit Margin,SG&A Expense,SGA Growth,Research & Development,Other SG&A,Other Operating Expense,Unusual Expense,EBIT after Unusual Expense,Non Operating Income/Expense,Non-Operating Interest Income,Equity in Affiliates (Pretax),Interest Expense,Interest Expense Growth,Gross Interest Expense,Interest Capitalized,Pretax Income,Pretax Income Growth,Pretax Margin,Income Tax,Income Tax - Current Domestic,Income Tax - Current Foreign,Income Tax - Deferred Domestic,Income Tax - Deferred Foreign,Income Tax Credits,Equity in Affiliates,Other After Tax Income (Expense),Consolidated Net Income,Minority Interest Expense,Net Income,Net Income Growth,Net Margin Growth,Extraordinaries & Discontinued Operations,Extra Items & Gain/Loss Sale Of Assets,Cumulative Effect - Accounting Chg,Discontinued Operations,Net Income After Extraordinaries,Preferred Dividends,Net Income Available to Common,EPS (Basic),EPS (Basic) Growth,Basic Shares Outstanding,EPS (Diluted),EPS (Diluted) Growth,Diluted Shares Outstanding,EBITDA,EBITDA Growth,EBITDA Margin,stock
2016-01-01,2016,256.11,-,163.39B,-,143.84B,19.56B,15.37B,4.19B,53.88B,-,-,42.49B,-,11.51B,30.98B,(3.2B),8.41B,6.18B,(1.33B),642M,9M,1.71B,-,1.79B,83M,3.8B,-,-,1.91B,886M,2.39B,(736M),(625M),-,3.5B,(225M),5.15B,10M,5.14B,-,-,-,-,-,-,5.14B,-,5.14B,10.26,-,501.3M,10.26,-,501.3M,34.14B,-,-,VLKPF
2017-01-01,2017,270.58,5.65%,184.82B,13.11%,163.89B,20.93B,16.75B,4.18B,44.73B,-16.97%,-,29.59B,-30.35%,11.61B,17.98B,(789M),3.38B,(3.38B),(1.81B),838M,(41M),1.35B,-21.04%,1.43B,83M,10.19B,168.54%,-,2.21B,614M,2.59B,321M,(1.32B),-,3.48B,(274M),11.19B,10M,11.18B,117.32%,-,-,-,-,-,11.18B,-,11.18B,22.3,117.35%,501.3M,22.3,117.35%,501.3M,36.86B,7.95%,-,VLKPF
2018-01-01,2018,278.01,2.74%,188.34B,1.90%,166.84B,21.5B,17.16B,4.34B,47.51B,6.21%,-,29.89B,1.01%,12.12B,17.78B,(494M),6.98B,11.14B,1.16B,950M,23M,1B,-25.69%,1.06B,62M,12.27B,20.44%,-,3.49B,1.13B,2.4B,429M,(472M),-,3.37B,(309M),11.84B,17M,11.83B,5.80%,-,-,-,-,-,11.83B,-,11.83B,23.59,5.80%,501.3M,23.59,5.80%,501.3M,39.61B,7.47%,-,VLKPF
2019-01-01,2019,297.79,7.12%,203.32B,7.95%,178.93B,24.39B,19.66B,4.73B,49.32B,3.79%,-,31.06B,3.92%,13.2B,17.86B,(105M),3.96B,14.4B,1.38B,904M,(53M),1.62B,61.64%,1.69B,68M,15.01B,22.27%,-,4.33B,1.47B,2.67B,115M,65M,-,3.35B,(540M),13.49B,143M,13.35B,12.84%,-,-,-,-,-,13.35B,-,13.35B,26.62,12.84%,501.3M,26.62,12.84%,501.3M,42.75B,7.92%,-,VLKPF
2020-01-01,2020,262.72,-11.78%,183.76B,-9.62%,158.03B,25.73B,20.48B,5.25B,39.13B,-20.66%,17.55%,28.12B,-9.46%,12.06B,16.07B,625M,526M,9.85B,55M,788M,(80M),1.71B,5.38%,1.77B,65M,8.91B,-40.62%,4.00%,2.84B,940M,2.21B,(1.03B),719M,-,2.76B,(533M),8.29B,(43M),8.33B,-37.55%,3.74%,-,-,-,-,8.33B,-,8.33B,16.62,-37.55%,501.3M,16.62,-37.55%,501.3M,36.11B,-15.53%,16.20%,VLKPF
2016-01-01,2016,110.99,-,71.15B,-,63.04B,8.11B,6.71B,1.4B,23.02B,-,-,13.43B,-,5.16B,8.27B,188M,(118M),9.52B,(161M),196M,441M,327M,-,327M,-,9.67B,-,-,2.76B,2.67B,-,85M,-,-,-,-,6.91B,47M,6.86B,-,-,-,-,-,-,6.86B,-,6.86B,10.45,-,656.8M,10.45,-,656.8M,17.51B,-,-,BAMXF
2017-01-01,2017,115.85,4.37%,73.41B,3.18%,64.95B,8.46B,7.03B,1.43B,24.87B,8.07%,-,14.5B,7.98%,6.11B,8.39B,442M,(234M),234M,(164M),201M,-,265M,-18.96%,265M,-,9.94B,2.80%,-,2B,2.56B,-,(558M),-,-,739M,-,8.68B,86M,8.59B,25.15%,-,-,-,-,-,8.59B,-,8.59B,13.07,25.08%,657.11M,13.07,25.08%,657.11M,18.39B,5.00%,-,BAMXF
2018-01-01,2018,114.17,-1.45%,73.16B,-0.34%,64.56B,8.6B,6.99B,1.61B,23.7B,-4.72%,-,14.92B,2.90%,6.89B,8.03B,(23M),105M,(105M),136M,397M,-,233M,-12.08%,233M,-,9B,-9.47%,-,2.53B,2.22B,-,312M,-,-,632M,-,7.1B,90M,7.01B,-18.42%,-,(33M),-,-,(33M),6.97B,-,6.97B,10.61,-18.86%,657.6M,10.61,-18.86%,657.6M,17.4B,-5.35%,-,BAMXF
2019-01-01,2019,122.84,7.59%,80.2B,9.62%,69.45B,10.75B,8.93B,1.82B,24.02B,1.34%,-,15.48B,3.77%,6.42B,9.07B,1.3B,189M,7.04B,(8M),179M,-,232M,-0.43%,232M,-,6.98B,-22.38%,-,2.14B,3.32B,-,(1.18B),-,-,136M,-,4.98B,107M,4.87B,-30.48%,-,44M,-,-,44M,4.92B,-,4.92B,7.47,-29.58%,658.12M,7.47,-29.58%,658.12M,17.98B,3.33%,-,BAMXF
2020-01-01,2020,116.69,-5.01%,79.72B,-0.59%,67.74B,11.98B,10.08B,1.89B,19.27B,-19.75%,19.47%,14.37B,-7.21%,6.28B,8.09B,43M,234M,4.63B,(216M),116M,-,225M,-3.02%,225M,-,4.3B,-38.38%,4.35%,1.37B,2.02B,-,(658M),-,-,920M,-,3.86B,82M,3.78B,-22.50%,3.81%,-,-,-,-,3.78B,-,3.78B,5.73,-23.28%,658.86M,5.73,-23.28%,658.86M,16.84B,-6.36%,17.01%,BAMXF
